,text,real,text_no_link
765,"Vanity Fair Magazine, which will soon be out of business, and their third rate Fake reporters, who make up sources which don’t exist, wrote yet another phony & boring hit piece. The facts are just the opposite. Our team is doing a great job with CoronaVirus!",1.0,"Vanity Fair Magazine, which will soon be out of business, and their third rate Fake reporters, who make up sources which don’t exist, wrote yet another phony & boring hit piece. The facts are just the opposite. Our team is doing a great job with CoronaVirus!"
766,Thank you Gavin. Team is doing a great job! https://t.co/gMeoMXT5Fe,1.0,Thank you Gavin. Team is doing a great job!
767,THANK YOU IDAHO! #KAG2020 https://t.co/aNhwiYsx96,1.0,THANK YOU IDAHO! #KAG2020
768,"Pocahontas, working in conjunction with the Democrat Party, totally destroyed the campaign of Bernie Sanders. If she would have quit 3 days earlier, Sanders would have beaten Biden in a route, it wouldn’t even have been close. They also got two other losers to support Sleepy Joe!",1.0,"Pocahontas, working in conjunction with the Democrat Party, totally destroyed the campaign of Bernie Sanders. If she would have quit 3 days earlier, Sanders would have beaten Biden in a route, it wouldn’t even have been close. They also got two other losers to support Sleepy Joe!"
769,THANK YOU WASHINGTON! #KAG2020 https://t.co/h04VbW71TH,1.0,THANK YOU WASHINGTON! #KAG2020
770,THANK YOU NORTH DAKOTA! #KAG2020 https://t.co/fOPyY03iyh,1.0,THANK YOU NORTH DAKOTA! #KAG2020
771,"Tommy Tuberville (@TTuberville) is running for the U.S. Senate from the Great State of Alabama. Tommy was a terrific head football coach at Auburn University. He is a REAL LEADER who will never let MAGA/KAG, or our Country, down! Tommy will protect your Second Amendment....",1.0,"Tommy Tuberville (@TTuberville) is running for the U.S. Senate from the Great State of Alabama. Tommy was a terrific head football coach at Auburn University. He is a REAL LEADER who will never let MAGA/KAG, or our Country, down! Tommy will protect your Second Amendment...."
772,THANK YOU MICHIGAN! #KAG2020 https://t.co/9Ibuma0JfP,1.0,THANK YOU MICHIGAN! #KAG2020
773,THANK YOU MISSOURI! #KAG2020 https://t.co/FH7NcIPqDp,1.0,THANK YOU MISSOURI! #KAG2020
774,THANK YOU MISSISSIPPI! #KAG2020 https://t.co/r4DRnssHya,1.0,THANK YOU MISSISSIPPI! #KAG2020
775,"Best unemployment numbers in the history of our Country. Best employment number EVER, almost 160 million people working right now. Vote Republican, unless you want to see these numbers obliterated!",1.0,"Best unemployment numbers in the history of our Country. Best employment number EVER, almost 160 million people working right now. Vote Republican, unless you want to see these numbers obliterated!"
776,"If you like automobiles, how can you vote for a Democrat who all want to get rid of cars, as quickly as possible, especially if they are powered by gasoline. Remember also, no more than one car per family. I, on the other hand, have new plants being built all over Michigan, Plus!",1.0,"If you like automobiles, how can you vote for a Democrat who all want to get rid of cars, as quickly as possible, especially if they are powered by gasoline. Remember also, no more than one car per family. I, on the other hand, have new plants being built all over Michigan, Plus!"
777,Great meeting on Capitol Hill with the @SenateGOP! https://t.co/eNB8zMRCup,1.0,Great meeting on Capitol Hill with the @SenateGOP!
778,Thank you @SenateGOP! https://t.co/XysOvXbTMF,1.0,Thank you @SenateGOP!
779,"Ronald Reagan’s great economist, the recipient of the Presidential Medal of Freedom, has just said great things about a Payroll Tax Cut!",1.0,"Ronald Reagan’s great economist, the recipient of the Presidential Medal of Freedom, has just said great things about a Payroll Tax Cut!"
780,Our CoronaVirus Team has been doing a great job. Even Democrat governors have been VERY complimentary!,1.0,Our CoronaVirus Team has been doing a great job. Even Democrat governors have been VERY complimentary!
781,"Nancy Pelosi just said, “I don’t know if we can be ready this week.” In other words, it’s off to vacation for the Do Nothing Democrats. That’s been the story with them for 1 1/2 years!",1.0,"Nancy Pelosi just said, “I don’t know if we can be ready this week.” In other words, it’s off to vacation for the Do Nothing Democrats. That’s been the story with them for 1 1/2 years!"
782,"There is another Russia, Russia, Russia meeting today. It is headed up by corrupt politician Adam “Shifty” Schiff, so I wouldn’t expect too much! @DHS_Wolf",1.0,"There is another Russia, Russia, Russia meeting today. It is headed up by corrupt politician Adam “Shifty” Schiff, so I wouldn’t expect too much! @DHS_Wolf"
783,"The Federal Reserve must be a leader, not a very late follower, which it has been!",1.0,"The Federal Reserve must be a leader, not a very late follower, which it has been!"
784,"Our pathetic, slow moving Federal Reserve, headed by Jay Powell, who raised rates too fast and lowered too late, should get our Fed Rate down to the levels of our competitor nations. They now have as much as a two point advantage, with even bigger currency help. Also, stimulate!",1.0,"Our pathetic, slow moving Federal Reserve, headed by Jay Powell, who raised rates too fast and lowered too late, should get our Fed Rate down to the levels of our competitor nations. They now have as much as a two point advantage, with even bigger currency help. Also, stimulate!"
785,Well deserved Jack. A great honor! https://t.co/Pb5aYSYNMP,1.0,Well deserved Jack. A great honor!
786,"True, with number 1 being more important! https://t.co/OwJf9vAdHQ",1.0,"True, with number 1 being more important!"
787,Going to be a BAD day for Crazy Bernie!,1.0,Going to be a BAD day for Crazy Bernie!
788,Polls say they BOTH lose to “Trump”. https://t.co/2AY4LZd8Zz,1.0,Polls say they BOTH lose to “Trump”.
789,"Wow! @foxandfriends blew away the competition of Morning Joke (which did very poorly) on MSDNC (Another Comcast sleaze production), and @CNN’s New Day, in the Morning Television Ratings. A total blowout, but that’s what you get when you treat “Trump” fairly!",1.0,"Wow! @foxandfriends blew away the competition of Morning Joke (which did very poorly) on MSDNC (Another Comcast sleaze production), and @CNN’s New Day, in the Morning Television Ratings. A total blowout, but that’s what you get when you treat “Trump” fairly!"
790,Going up fast. We need the Wall more than ever! https://t.co/7TxErJKAgT,1.0,Going up fast. We need the Wall more than ever!
791,Fake News!! https://t.co/BG62YbD7Fw,1.0,Fake News!!
792,"Oklahoma, Vote for your GREAT Senator Today. Nobody better than Jim! https://t.co/nYoLaM5Peu",1.0,"Oklahoma, Vote for your GREAT Senator Today. Nobody better than Jim!"
793,"THANK YOU, Jim, for your incredible support of our #MAGA Agenda! You are a tremendous Senator for the people of the Great State of Oklahoma and you have my Complete and Total Endorsement! https://t.co/yx3e1tmjCM",1.0,"THANK YOU, Jim, for your incredible support of our #MAGA Agenda! You are a tremendous Senator for the people of the Great State of Oklahoma and you have my Complete and Total Endorsement!"
794,"Congressman @StevenPalazzo is doing a fantastic job for the people of Mississippi. He strongly supports our #MAGA Agenda. Steven will continue to protect your #2A, & Support our INCREDIBLE Vets & Military. Steven has my Complete Endorsement. VOTE for Steven tomorrow, March 10th!",1.0,"Congressman @StevenPalazzo is doing a fantastic job for the people of Mississippi. He strongly supports our #MAGA Agenda. Steven will continue to protect your #2A, & Support our INCREDIBLE Vets & Military. Steven has my Complete Endorsement. VOTE for Steven tomorrow, March 10th!"
795,"Congressman Michael Guest (@GuestCongress) is an incredible fighter for the Great State of Mississippi. Michael is strong on Crime and the Border, he loves our Military and Vets. Michael has my Complete and Total Endorsement! Get out and Vote for Michael tomorrow, March 10th!",1.0,"Congressman Michael Guest (@GuestCongress) is an incredible fighter for the Great State of Mississippi. Michael is strong on Crime and the Border, he loves our Military and Vets. Michael has my Complete and Total Endorsement! Get out and Vote for Michael tomorrow, March 10th!"
796,"So last year 37,000 Americans died from the common Flu. It averages between 27,000 and 70,000 per year. Nothing is shut down, life & the economy go on. At this moment there are 546 confirmed cases of CoronaVirus, with 22 deaths. Think about that!",1.0,"So last year 37,000 Americans died from the common Flu. It averages between 27,000 and 70,000 per year. Nothing is shut down, life & the economy go on. At this moment there are 546 confirmed cases of CoronaVirus, with 22 deaths. Think about that!"
797,"Saudi Arabia and Russia are arguing over the price and flow of oil. That, and the Fake News, is the reason for the market drop!",1.0,"Saudi Arabia and Russia are arguing over the price and flow of oil. That, and the Fake News, is the reason for the market drop!"
798,"Good for the consumer, gasoline prices coming down!",1.0,"Good for the consumer, gasoline prices coming down!"
799,So much FAKE NEWS!,1.0,So much FAKE NEWS!
800,The BEST decision made was the toughest of them all - which saved many lives. Our VERY early decision to stop travel to and from certain parts of the world!,1.0,The BEST decision made was the toughest of them all - which saved many lives. Our VERY early decision to stop travel to and from certain parts of the world!
801,Great job being done by the @VP and the CoronaVirus Task Force. Thank you!,1.0,Great job being done by the @VP and the CoronaVirus Task Force. Thank you!
802,The Obama/Biden Administration is the most corrupt Administration in the history of our Country!,1.0,The Obama/Biden Administration is the most corrupt Administration in the history of our Country!
803,"“Trump has outmastered the Deep State. He’s light years ahead of us.” MSDNC. I disagree. We have a long way to go. There are still some very bad, sick people in our government - people who do not love our Country (In fact, they hate our Country!).",1.0,"“Trump has outmastered the Deep State. He’s light years ahead of us.” MSDNC. I disagree. We have a long way to go. There are still some very bad, sick people in our government - people who do not love our Country (In fact, they hate our Country!)."
804,"Now the Democrats are trying to smear Bernie with Russia, Russia, Russia. They are driving him Crazy!",1.0,"Now the Democrats are trying to smear Bernie with Russia, Russia, Russia. They are driving him Crazy!"
805,Elizabeth “Pocahontas” Warren singlehandedly destroyed the Bernie Sanders campaign by stripping voters away from his count on Super T. He lost states that he easily would have won if she had dropped out 3 days earlier. The DNC is doing it to Bernie again! Will he ever get angry?,1.0,Elizabeth “Pocahontas” Warren singlehandedly destroyed the Bernie Sanders campaign by stripping voters away from his count on Super T. He lost states that he easily would have won if she had dropped out 3 days earlier. The DNC is doing it to Bernie again! Will he ever get angry?
806,"Cryin’ Chuck Schumer said, “You will pay the price for this. You won’t know what HIT YOU.” That is far beyond simple rhetoric. That is a physical threat, or at least a threat that you better vote for us.” Trouble ahead!",1.0,"Cryin’ Chuck Schumer said, “You will pay the price for this. You won’t know what HIT YOU.” That is far beyond simple rhetoric. That is a physical threat, or at least a threat that you better vote for us.” Trouble ahead!"
807,"The Fake News Media and their partner, the Democrat Party, is doing everything within its semi-considerable power (it used to be greater!) to inflame the CoronaVirus situation, far beyond what the facts would warrant. Surgeon General, “The risk is low to the average American.”",1.0,"The Fake News Media and their partner, the Democrat Party, is doing everything within its semi-considerable power (it used to be greater!) to inflame the CoronaVirus situation, far beyond what the facts would warrant. Surgeon General, “The risk is low to the average American.”"
808,"A great book, support Charlie, BUY IT!  Already Number One. https://t.co/fG7YXOCk9R",1.0,"A great book, support Charlie, BUY IT! Already Number One."
809,Working hard Lori! https://t.co/awBZuXrLHg,1.0,Working hard Lori!
810,"There are no mixed messages, only political weaponization by people like you and your brother, Fredo! https://t.co/NqH4pHfuwt",1.0,"There are no mixed messages, only political weaponization by people like you and your brother, Fredo!"
811,"Who knows what this means, but it sounds good to me! https://t.co/rQVA4ER0PV",1.0,"Who knows what this means, but it sounds good to me!"
812,"The New York Times is an embarrassment to journalism. They were a dead paper before I went into politics, and they will be a dead paper after I leave, which will be in 5 years. Fake News is the Enemy of the people!",1.0,"The New York Times is an embarrassment to journalism. They were a dead paper before I went into politics, and they will be a dead paper after I leave, which will be in 5 years. Fake News is the Enemy of the people!"
813,"We have a perfectly coordinated and fine tuned plan at the White House for our attack on CoronaVirus. We moved VERY early to close borders to certain areas, which was a Godsend. V.P. is doing a great job. The Fake News Media is doing everything possible to make us look bad. Sad!",1.0,"We have a perfectly coordinated and fine tuned plan at the White House for our attack on CoronaVirus. We moved VERY early to close borders to certain areas, which was a Godsend. V.P. is doing a great job. The Fake News Media is doing everything possible to make us look bad. Sad!"
814,"Thank you @SenatorTimScott!
https://t.co/7Sp0mj1AL0",1.0,Thank you @SenatorTimScott!
815,"We have now learned for sure that the Democrats don’t want anything to do with Crazy Bernie. Rigged? First @amyklobuchar & @PeteButtigieg quit the race & come out for Sleepy Joe BEFORE Super Tuesday. Pocahontas says NO & quits race AFTER ELECTION, thereby depriving Bernie of at..",1.0,"We have now learned for sure that the Democrats don’t want anything to do with Crazy Bernie. Rigged? First @amyklobuchar & @PeteButtigieg quit the race & come out for Sleepy Joe BEFORE Super Tuesday. Pocahontas says NO & quits race AFTER ELECTION, thereby depriving Bernie of at.."
816,I agree with Joe! https://t.co/h84mD7jVPW,1.0,I agree with Joe!
817,Thank you to the Great State of Tennessee. We are with you all the way! https://t.co/vyu0Tbthv0,1.0,Thank you to the Great State of Tennessee. We are with you all the way!
818,"Thank you @GovBillLee and @MariaLeeTN. My Administration will always be there for the Great People of Tennessee. Together, we will prevail! https://t.co/d5tJPEiEYf https://t.co/SqvRzbw3TL",1.0,"Thank you @GovBillLee and @MariaLeeTN. My Administration will always be there for the Great People of Tennessee. Together, we will prevail!"
819,"I am pleased to announce that Congressman Mark Meadows will become White House Chief of Staff. I have long known and worked with Mark, and the relationship is a very good one....",1.0,"I am pleased to announce that Congressman Mark Meadows will become White House Chief of Staff. I have long known and worked with Mark, and the relationship is a very good one...."
820,"Congratulations to @FoxNews! 
https://t.co/ED5t5eENE5",1.0,Congratulations to @FoxNews!
822,"Thank you @GovBillLee. We are a phone call away, and here for you! https://t.co/0dwI1wh1nr",1.0,"Thank you @GovBillLee. We are a phone call away, and here for you!"
823,"My Administration is with you all of the way, Tennessee. We love you! 
https://t.co/YYLfZuPWyK",1.0,"My Administration is with you all of the way, Tennessee. We love you!"
824,"Spoke to Governor @GavinNewsom early this morning about the cruise ship quarantined off the California Coast. CoronaVirus test kits have been delivered, testing is taking place now. https://t.co/Pqda00HVCC",1.0,"Spoke to Governor @GavinNewsom early this morning about the cruise ship quarantined off the California Coast. CoronaVirus test kits have been delivered, testing is taking place now."
825,"It is FAKE NEWS that @HHSGov @SecAzar is “sidelined” from the great job he is doing on the CoronaVirus Task Force. He has the total confidence of the @VP and myself, and is doing a fantastic job, as the numbers would indicate!",1.0,"It is FAKE NEWS that @HHSGov @SecAzar is “sidelined” from the great job he is doing on the CoronaVirus Task Force. He has the total confidence of the @VP and myself, and is doing a fantastic job, as the numbers would indicate!"
826,"I will protect your Social Security and Medicare, just as I have for the past 3 years. Sleepy Joe Biden will destroy both in very short order, and he won’t even know he’s doing it!",1.0,"I will protect your Social Security and Medicare, just as I have for the past 3 years. Sleepy Joe Biden will destroy both in very short order, and he won’t even know he’s doing it!"
828,"JOBS, JOBS, JOBS!!! 
https://t.co/x0olZd3RLu",1.0,"JOBS, JOBS, JOBS!!!"
829,"Thanks Linda, but they were really good last night! https://t.co/feLtQTrzO5",1.0,"Thanks Linda, but they were really good last night!"
830,Thank you! https://t.co/xfB5qwgZzy,1.0,Thank you!
831,My great honor! https://t.co/oFZneKJZCf,1.0,My great honor!
832,Thank you Audrey! https://t.co/2bhoVVoV6r,1.0,Thank you Audrey!
833,"The WALL is well under construction. So far we’re up to 129 miles, and by early next year we will have 500 miles completed! https://t.co/bXxOnoU4WM",1.0,"The WALL is well under construction. So far we’re up to 129 miles, and by early next year we will have 500 miles completed!"
834,"We have appointed 220 Federal Judges and two Supreme Court Justices. PROMISES MADE, PROMISES KEPT! https://t.co/fVw6tJ89Wd",1.0,"We have appointed 220 Federal Judges and two Supreme Court Justices. PROMISES MADE, PROMISES KEPT!"
835,"Thank you David, a lifelong Democrat from Pennsylvania. We will continue MAKING AMERICA GREAT AGAIN and then, KEEP AMERICA GREAT!!!!
https://t.co/hvVfB5cPrG",1.0,"Thank you David, a lifelong Democrat from Pennsylvania. We will continue MAKING AMERICA GREAT AGAIN and then, KEEP AMERICA GREAT!!!!"
836,"Thank you Scranton, Pennsylvania. It was a great evening! https://t.co/EtzRLoEZHs",1.0,"Thank you Scranton, Pennsylvania. It was a great evening!"
837,Tonight’s Fox News Town Hall with @MarthaMacCallum and @BretBaier will rebroadcast at 11:00 P.M. Eastern on @FoxNews. Enjoy!,1.0,Tonight’s Fox News Town Hall with @MarthaMacCallum and @BretBaier will rebroadcast at 11:00 P.M. Eastern on @FoxNews. Enjoy!
838,Thank you Nan! https://t.co/PZoxkvMqZq,1.0,Thank you Nan!
839,"Gallup just gave us the highest rating ever for the way we are handling the CoronaVirus situation. The April 2009-10 Swine Flu, where nearly 13,000 people died in the U.S., was poorly handled. Ask MSDNC & lightweight Washington failure @RonaldKlain, who the President was then?",1.0,"Gallup just gave us the highest rating ever for the way we are handling the CoronaVirus situation. The April 2009-10 Swine Flu, where nearly 13,000 people died in the U.S., was poorly handled. Ask MSDNC & lightweight Washington failure @RonaldKlain, who the President was then?"
840,"The Department of Education is NOT closing hundreds of schools in rural areas of our Country. This is just more Fake News. We are investing greatly in our schools, and always will!",1.0,"The Department of Education is NOT closing hundreds of schools in rural areas of our Country. This is just more Fake News. We are investing greatly in our schools, and always will!"
841,"Mini Mike, you’re easy! https://t.co/rxFiqSB9RQ https://t.co/G2M1QHj0HV",1.0,"Mini Mike, you’re easy!"
842,"With approximately 100,000 CoronaVirus cases worldwide, and 3,280 deaths, the United States, because of quick action on closing our borders, has, as of now, only 129 cases (40 Americans brought in) and 11 deaths. We are working very hard to keep these numbers as low as possible!",1.0,"With approximately 100,000 CoronaVirus cases worldwide, and 3,280 deaths, the United States, because of quick action on closing our borders, has, as of now, only 129 cases (40 Americans brought in) and 11 deaths. We are working very hard to keep these numbers as low as possible!"
843,“Joe Biden represents the past. President Trump represents the future.” @LisaMarieBoothe @edhenry @FoxNews,1.0,“Joe Biden represents the past. President Trump represents the future.” @LisaMarieBoothe @edhenry @FoxNews
844,"Elizabeth “Pocahontas” Warren, who was going nowhere except into Mini Mike’s head, just dropped out of the Democrat Primary...THREE DAYS TOO LATE. She cost Crazy Bernie, at least, Massachusetts, Minnesota and Texas. Probably cost him the nomination! Came in third in Mass.",1.0,"Elizabeth “Pocahontas” Warren, who was going nowhere except into Mini Mike’s head, just dropped out of the Democrat Primary...THREE DAYS TOO LATE. She cost Crazy Bernie, at least, Massachusetts, Minnesota and Texas. Probably cost him the nomination! Came in third in Mass."
845,".@GOPLeader Kevin McCarthy informed me that I was 20 for 20 on Tuesday with respect to my Endorsement of candidates. Sadly, I didn’t get that information from the Fake News Media. They don’t report those things, or the far more than Dems cumulative votes, despite no opposition!",1.0,".@GOPLeader Kevin McCarthy informed me that I was 20 for 20 on Tuesday with respect to my Endorsement of candidates. Sadly, I didn’t get that information from the Fake News Media. They don’t report those things, or the far more than Dems cumulative votes, despite no opposition!"
846,"“I want to commend the President for how he has handled the CoronaVirus situation, especially his early decision to shut down access into our Country from China, despite strong opposition to that decision.” @SenTomCotton Thank you Tom!",1.0,"“I want to commend the President for how he has handled the CoronaVirus situation, especially his early decision to shut down access into our Country from China, despite strong opposition to that decision.” @SenTomCotton Thank you Tom!"
847,Schumer has brought great danger to the steps of the United States Supreme Court!,1.0,Schumer has brought great danger to the steps of the United States Supreme Court!
848,"I NEVER said people that are feeling sick should go to work. This is just more Fake News and disinformation put out by the Democrats, in particular MSDNC. Comcast covers the CoronaVirus situation horribly, only looking to do harm to the incredible & successful effort being made!",1.0,"I NEVER said people that are feeling sick should go to work. This is just more Fake News and disinformation put out by the Democrats, in particular MSDNC. Comcast covers the CoronaVirus situation horribly, only looking to do harm to the incredible & successful effort being made!"
849,"As per recent Federal Court ruling, the Federal Government will be withholding funds from Sanctuary Cities. They should change their status and go non-Sanctuary. Do not protect criminals!",1.0,"As per recent Federal Court ruling, the Federal Government will be withholding funds from Sanctuary Cities. They should change their status and go non-Sanctuary. Do not protect criminals!"
852,I will be interviewed by @seanhannity on @FoxNews at 9:10 P.M.,1.0,I will be interviewed by @seanhannity on @FoxNews at 9:10 P.M.
853,Retired Four Star General Jack Keane will receive the PRESIDENTIAL MEDAL OF FREEDOM next week!,1.0,Retired Four Star General Jack Keane will receive the PRESIDENTIAL MEDAL OF FREEDOM next week!
854,"There can be few things worse in a civilized, law abiding nation, than a United States Senator openly, and for all to see and hear, threatening the Supreme Court or its Justices. This is what Chuck Schumer just did. He must pay a severe price for this!",1.0,"There can be few things worse in a civilized, law abiding nation, than a United States Senator openly, and for all to see and hear, threatening the Supreme Court or its Justices. This is what Chuck Schumer just did. He must pay a severe price for this!"
855,"This is a direct & dangerous threat to the U.S. Supreme Court by Schumer. If a Republican did this, he or she would be arrested, or impeached. Serious action MUST be taken NOW! https://t.co/WqQUbyzaJU",1.0,"This is a direct & dangerous threat to the U.S. Supreme Court by Schumer. If a Republican did this, he or she would be arrested, or impeached. Serious action MUST be taken NOW!"
856,"Thank you, keep up the great work! https://t.co/X2ATpyv2vi",1.0,"Thank you, keep up the great work!"
857,"Congress has agreed to provide $8 Billion to fight Coronavirus! This means @CDCgov, @HHSGov, and @DHSgov will have the resources they need to Keep America Safe and keep the risk to workers and families very low. This is great news for our Health, our Economy, and our Nation!",1.0,"Congress has agreed to provide $8 Billion to fight Coronavirus! This means @CDCgov, @HHSGov, and @DHSgov will have the resources they need to Keep America Safe and keep the risk to workers and families very low. This is great news for our Health, our Economy, and our Nation!"
858,Will be interviewed by @SeanHannity tonight at 9:00 P.M. Eastern on @FoxNews. Enjoy!,1.0,Will be interviewed by @SeanHannity tonight at 9:00 P.M. Eastern on @FoxNews. Enjoy!
859,"Pandering Mini Mike Bloomberg, along with his wacky friend, Tom Steyer, have found out the hard way that you can’t buy the election! They both wish they had it to do over again!",1.0,"Pandering Mini Mike Bloomberg, along with his wacky friend, Tom Steyer, have found out the hard way that you can’t buy the election! They both wish they had it to do over again!"
860,"Today, it was my great honor to address the @LatinoCoalition Legislative Summit. With the hard work, love & devotion of millions of incredible Hispanic-Americans, our Country is thriving, our people are prospering, and our future has never looked brighter! https://t.co/PJumzqLKGq",1.0,"Today, it was my great honor to address the @LatinoCoalition Legislative Summit. With the hard work, love & devotion of millions of incredible Hispanic-Americans, our Country is thriving, our people are prospering, and our future has never looked brighter!"
861,"Mini Mike, “Three months ago I entered the race for President to defeat Donald Trump, (and I failed miserably!).",1.0,"Mini Mike, “Three months ago I entered the race for President to defeat Donald Trump, (and I failed miserably!)."
862,"Mini Mike Bloomberg will now FIRE Tim O’Brien, and all of the fools and truly dumb people who got him into this MESS. This has been the worst, and most embarrassing, experience of his life...and now on to Sleepy Joe!",1.0,"Mini Mike Bloomberg will now FIRE Tim O’Brien, and all of the fools and truly dumb people who got him into this MESS. This has been the worst, and most embarrassing, experience of his life...and now on to Sleepy Joe!"
863,"Mini Mike Bloomberg just “quit” the race for President. I could have told him long ago that he didn’t have what it takes, and he would have saved himself a billion dollars, the real cost. Now he will pour money into Sleepy Joe’s campaign, hoping to save face. It won’t work!",1.0,"Mini Mike Bloomberg just “quit” the race for President. I could have told him long ago that he didn’t have what it takes, and he would have saved himself a billion dollars, the real cost. Now he will pour money into Sleepy Joe’s campaign, hoping to save face. It won’t work!"
864,"The Mayor of Los Angeles, @ericgarcetti, is dealing with us trying to get the Federal Government to fix the terrible problem he and the Dems have caused with the homeless, and the horrendous effects it is having on the City, which is a mess. I then watch him talk “trash” on me!",1.0,"The Mayor of Los Angeles, @ericgarcetti, is dealing with us trying to get the Federal Government to fix the terrible problem he and the Dems have caused with the homeless, and the horrendous effects it is having on the City, which is a mess. I then watch him talk “trash” on me!"
865,"Wow! If Elizabeth Warren wasn’t in the race, Bernie Sanders would have EASILY won Massachusetts, Minnesota and Texas, not to mention various other states. Our modern day Pocahontas won’t go down in history as a winner, but she may very well go down as the all time great SPOILER!",1.0,"Wow! If Elizabeth Warren wasn’t in the race, Bernie Sanders would have EASILY won Massachusetts, Minnesota and Texas, not to mention various other states. Our modern day Pocahontas won’t go down in history as a winner, but she may very well go down as the all time great SPOILER!"
866,"The great people of Montana can have no better VOICE than Senator @SteveDaines. He is doing an incredible job! Whoever the Democrat nominee may be, please understand that I will be working hard with Steve all the way, & last night I was 20 for 20 (per @GOPLeader). WE NEED STEVE!",1.0,"The great people of Montana can have no better VOICE than Senator @SteveDaines. He is doing an incredible job! Whoever the Democrat nominee may be, please understand that I will be working hard with Steve all the way, & last night I was 20 for 20 (per @GOPLeader). WE NEED STEVE!"
867,"I will be going to the Great State of Tennessee on Friday. The USA stands with the people of Tennessee 100%, whatever they need! The tornadoes were of record size & velocity. God bless your loved ones & all of the families affected! Thanks to @GovBillLee & @MarshaBlackburn",1.0,"I will be going to the Great State of Tennessee on Friday. The USA stands with the people of Tennessee 100%, whatever they need! The tornadoes were of record size & velocity. God bless your loved ones & all of the families affected! Thanks to @GovBillLee & @MarshaBlackburn"
868,"MAKE AMERICA GREAT AGAIN and then, KEEP AMERICA GREAT!!!!",1.0,"MAKE AMERICA GREAT AGAIN and then, KEEP AMERICA GREAT!!!!"
869,"This is what happens to someone who loyally gets appointed Attorney General of the United States & then doesn’t have the wisdom or courage to stare down & end the phony Russia Witch Hunt. Recuses himself on FIRST DAY in office, and the Mueller Scam begins! https://t.co/2jGnRgOS6h",1.0,"This is what happens to someone who loyally gets appointed Attorney General of the United States & then doesn’t have the wisdom or courage to stare down & end the phony Russia Witch Hunt. Recuses himself on FIRST DAY in office, and the Mueller Scam begins!"
870,"So selfish for Elizabeth Warren to stay in the race. She has Zero chance of even coming close to winning, but hurts Bernie badly. So much for their wonderful liberal friendship. Will he ever speak to her again? She cost him Massachusetts (and came in third), he shouldn’t!",1.0,"So selfish for Elizabeth Warren to stay in the race. She has Zero chance of even coming close to winning, but hurts Bernie badly. So much for their wonderful liberal friendship. Will he ever speak to her again? She cost him Massachusetts (and came in third), he shouldn’t!"
871,"The Democrat establishment came together and crushed Bernie Sanders, AGAIN! Even the fact that Elizabeth Warren stayed in the race was devastating to Bernie and allowed Sleepy Joe to unthinkably win Massachusetts. It was a perfect storm, with many good states remaining for Joe!",1.0,"The Democrat establishment came together and crushed Bernie Sanders, AGAIN! Even the fact that Elizabeth Warren stayed in the race was devastating to Bernie and allowed Sleepy Joe to unthinkably win Massachusetts. It was a perfect storm, with many good states remaining for Joe!"
872,THANK YOU CALIFORNIA! #KAG2020 https://t.co/7BrkAKYWU0,1.0,THANK YOU CALIFORNIA! #KAG2020
873,THANK YOU UTAH! #KAG2020 https://t.co/LrCvXgmp3X,1.0,THANK YOU UTAH! #KAG2020
874,But they really knew who was going to win! https://t.co/WZnOx6ZHmW,1.0,But they really knew who was going to win!
875,"Elizabeth “Pocahontas” Warren, other than Mini Mike, was the loser of the night. She didn’t even come close to winning her home state of Massachusetts. Well, now she can just sit back with her husband and have a nice cold beer!",1.0,"Elizabeth “Pocahontas” Warren, other than Mini Mike, was the loser of the night. She didn’t even come close to winning her home state of Massachusetts. Well, now she can just sit back with her husband and have a nice cold beer!"
876,"The biggest loser tonight, by far, is Mini Mike Bloomberg. His “political” consultants took him for a ride. $700 million washed down the drain, and he got nothing for it but the nickname Mini Mike, and the complete destruction of his reputation. Way to go Mike!",1.0,"The biggest loser tonight, by far, is Mini Mike Bloomberg. His “political” consultants took him for a ride. $700 million washed down the drain, and he got nothing for it but the nickname Mini Mike, and the complete destruction of his reputation. Way to go Mike!"
877,THANK YOU ARKANSAS! #KAG2020 https://t.co/X3XqvrVZoe,1.0,THANK YOU ARKANSAS! #KAG2020
878,THANK YOU MINNESOTA! #KAG2020 https://t.co/gX4qWdbJHF,1.0,THANK YOU MINNESOTA! #KAG2020
879,THANK YOU COLORADO! #KAG2020 https://t.co/HUIkHc7hIW,1.0,THANK YOU COLORADO! #KAG2020
880,THANK YOU TEXAS! #KAG2020 https://t.co/UujGu4eUNJ,1.0,THANK YOU TEXAS! #KAG2020
881,THANK YOU MAINE! #KAG2020 https://t.co/gJ50FwOuj3,1.0,THANK YOU MAINE! #KAG2020
882,THANK YOU TENNESSEE! #KAG2020 https://t.co/yrDlRAcrRt,1.0,THANK YOU TENNESSEE! #KAG2020
883,THANK YOU MASSACHUSETTS! #KAG2020 https://t.co/99dkzK0xfA,1.0,THANK YOU MASSACHUSETTS! #KAG2020
884,THANK YOU OKLAHOMA! #KAG2020 https://t.co/V5DNRn6yNB,1.0,THANK YOU OKLAHOMA! #KAG2020
885,THANK YOU ALABAMA! #KAG2020 https://t.co/IdJ721oOsq,1.0,THANK YOU ALABAMA! #KAG2020
886,THANK YOU NORTH CAROLINA! #KAG2020 https://t.co/RPX0fqWmB1,1.0,THANK YOU NORTH CAROLINA! #KAG2020
887,THANK YOU VERMONT! #KAG2020 https://t.co/XgwOjKwYoR,1.0,THANK YOU VERMONT! #KAG2020
